TPR,power,FDR,FPR,precision,F1,n_discoveries,n_true_signals,TP,FP,TN,FN,method,dataset,seed
0.64,0.64,0.058823529411764705,0.0044444444444444444,0.9411764705882353,0.7619047619047621,34,50,32,2,448,18,BH,33_skin,42
0.48,0.48,0.1111111111111111,0.006666666666666667,0.8888888888888888,0.6233766233766234,27,50,24,3,447,26,BH,33_skin,43
0.1,0.1,0.9825174825174825,0.6244444444444445,0.017482517482517484,0.029761904761904764,286,50,5,281,169,45,SpatialFDR,33_skin,43
0.7,0.7,0.027777777777777776,0.0022222222222222222,0.9722222222222222,0.813953488372093,36,50,35,1,449,15,BH,33_skin,44
0.9,0.9,0.2857142857142857,0.04,0.7142857142857143,0.7964601769911505,63,50,45,18,432,5,SpatialFDR,33_skin,44
0.64,0.64,0.058823529411764705,0.0044444444444444444,0.9411764705882353,0.7619047619047621,34,50,32,2,448,18,BH,33_skin,45
0.48,0.48,0.9454545454545454,0.9244444444444444,0.05454545454545454,0.09795918367346938,440,50,24,416,34,26,SpatialFDR,33_skin,45
0.74,0.74,0.11904761904761904,0.011111111111111112,0.8809523809523809,0.8043478260869565,42,50,37,5,445,13,BH,33_skin,46
0.5,0.5,0.7395833333333334,0.15777777777777777,0.2604166666666667,0.3424657534246575,96,50,25,71,379,25,SpatialFDR,33_skin,46
