TPR,power,FDR,FPR,precision,F1,n_discoveries,n_true_signals,TP,FP,TN,FN,method,dataset,seed
0.68,0.68,0.20930232558139536,0.02,0.7906976744186046,0.7311827956989247,43,50,34,9,441,16,BH,19_landsat,42
0.52,0.52,0.0,0.0,1.0,0.6842105263157895,26,50,26,0,450,24,BH,19_landsat,43
0.92,0.92,0.43902439024390244,0.08,0.5609756097560976,0.6969696969696971,82,50,46,36,414,4,SpatialFDR,19_landsat,43
0.62,0.62,0.06060606060606061,0.0044444444444444444,0.9393939393939394,0.7469879518072288,33,50,31,2,448,19,BH,19_landsat,44
0.86,0.86,0.8313725490196079,0.4711111111111111,0.16862745098039217,0.2819672131147541,255,50,43,212,238,7,SpatialFDR,19_landsat,44
0.54,0.54,0.03571428571428571,0.0022222222222222222,0.9642857142857143,0.6923076923076923,28,50,27,1,449,23,BH,19_landsat,45
0.84,0.84,0.7878787878787878,0.3466666666666667,0.21212121212121213,0.33870967741935487,198,50,42,156,294,8,SpatialFDR,19_landsat,45
0.56,0.56,0.034482758620689655,0.0022222222222222222,0.9655172413793104,0.7088607594936709,29,50,28,1,449,22,BH,19_landsat,46
0.82,0.82,0.783068783068783,0.3288888888888889,0.21693121693121692,0.34309623430962344,189,50,41,148,302,9,SpatialFDR,19_landsat,46
